SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CHNG,%CHNG,"VOLUME
(shares)","VALUE
(₹ Lakhs)",52W H,52W L,TODAY,Column-13,Column-14,Column-15,Column-16,Column-17,Column-18,Column-19,Column-20,Column-21,Column-22,Column-23,Column-24,Sequence No.
NIFTY 50,"16,339.45","16,402.10","16,133.80","16,498.05","16,363.60",-134.45,-0.81,"30,49,88,045","23,55,453.54","18,604.45","14,151.40",,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,8.22,,-6.14,1
DRREDDY,"3,710.00","3,820.00","3,654.00","3,718.85","3,810.65",91.80,2.47,"7,95,902","29,787.67","5,614.60","3,654.00",,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,-17.41,,-13.70,2
ITC,217.70,224.35,217.00,219.40,224.15,4.75,2.16,"4,57,31,033","1,01,166.19",265.30,199.10,,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,4.50,,-3.67,3
ULTRACEMCO,"5,949.75","6,099.00","5,850.80","5,980.70","6,085.35",104.65,1.75,"9,43,028","56,263.60","8,269.00","5,850.80",,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,-8.00,,-20.43,4
TECHM,"1,415.00","1,454.60","1,398.50","1,426.65","1,450.40",23.75,1.66,"18,44,608","26,399.66","1,838.00",937.00,,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,46.17,,-5.25,5
SUNPHARMA,816.30,833.60,809.35,820.90,832.45,11.55,1.41,"20,93,436","17,211.18",902.85,562.10,,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,31.48,,-7.95,6
UPL,712.00,735.90,704.80,713.75,719.70,5.95,0.83,"83,22,214","60,360.19",864.70,581.00,,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,16.32,,-9.08,7
HCLTECH,"1,128.00","1,154.85","1,122.65","1,139.70","1,147.65",7.95,0.70,"21,30,308","24,292.33","1,377.75",891.00,,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,18.07,,0.61,8
BRITANNIA,"3,350.00","3,394.85","3,275.00","3,366.40","3,381.90",15.50,0.46,"2,68,461","8,920.26","4,153.00","3,275.00",,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,-3.30,,-7.94,9
WIPRO,561.00,574.45,554.05,569.55,571.45,1.90,0.33,"82,52,383","46,632.57",739.85,397.75,,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,30.78,,-1.23,10
ICICIBANK,691.00,706.55,685.00,698.30,700.55,2.25,0.32,"1,22,26,577","84,748.52",867.00,531.15,,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,10.47,,-13.82,11
